title,genre
The Legend of Zelda: Ocarina of Time,action adventure fantasy
Tony Hawk's Pro Skater 2,sports alternative skateboarding
Grand Theft Auto IV,action adventure modern modern openworld
SoulCalibur,action fighting 3d
Grand Theft Auto IV,action adventure modern modern openworld
Super Mario Galaxy,action platformer platformer 3d 3d
Super Mario Galaxy 2,action platformer platformer 3d 3d
Grand Theft Auto V,action adventure modern openworld
Grand Theft Auto V,modern action adventure modern openworld
Grand Theft Auto V,modern action adventure modern openworld
Tony Hawk's Pro Skater 2,sports alternative skateboarding
The Legend of Zelda: Breath of the Wild,action adventure openworld
Tony Hawk's Pro Skater 3,sports alternative skateboarding
Perfect Dark,action shooter firstperson scifi
Grand Theft Auto V,action adventure modern openworld
Metroid Prime,action shooter firstperson scifi
Grand Theft Auto III,action adventure modern
Super Mario Odyssey,action platformer 3d
Halo: Combat Evolved,action shooter firstperson scifi
NFL 2K1,sports traditional football sim
Half-Life 2,action shooter shooter firstperson scifi scifi arcade
Grand Theft Auto V,modern action adventure openworld
The Legend of Zelda: Breath of the Wild,fantasy fantasy action adventure openworld
BioShock,action shooter shooter firstperson scifi scifi arcade
GoldenEye 007,action shooter firstperson modern
Uncharted 2: Among Thieves,action adventure modern modern linear
Resident Evil 4,action adventure horror
The Orange Box,action miscellaneous shooter compilation firstperson scifi
The Orange Box,action miscellaneous shooter compilation firstperson scifi
Batman: Arkham City,action adventure fantasy fantasy openworld
Tekken 3,action fighting 3d
Mass Effect 2,roleplaying action rpg action rpg
The Legend of Zelda: Twilight Princess,action adventure fantasy
The Elder Scrolls V: Skyrim,roleplaying firstperson firstperson westernstyle
Half-Life,action shooter shooter firstperson scifi scifi arcade
Resident Evil 4,action adventure horror
The Legend of Zelda: The Wind Waker,action adventure fantasy
Gran Turismo,driving racing gt  street
BioShock,action shooter shooter firstperson scifi scifi arcade
Metal Gear Solid 2: Sons of Liberty,action adventure modern
Grand Theft Auto Double Pack,miscellaneous compilation
Baldur's Gate II: Shadows of Amn,roleplaying pcstyle rpg pcstyle rpg westernstyle
Grand Theft Auto: San Andreas,action adventure modern
Grand Theft Auto: Vice City,action adventure modern
LittleBigPlanet,action platformer platformer 3d 2d 3d
The Legend of Zelda Collector's Edition,action adventure fantasy
Red Dead Redemption,action shooter thirdperson historic action adventure historic historic openworld
Gran Turismo 3: A-Spec,driving racing gt  street
Halo 2,action shooter firstperson scifi
The Legend of Zelda: A Link to the Past,action adventure fantasy
The Legend of Zelda: Majora's Mask,action adventure fantasy
The Last of Us,modern adventure general action adventure general modern
The Legend of Zelda: Twilight Princess,action adventure fantasy general fantasy openworld
Madden NFL 2003,sports traditional football sim
Tony Hawk's Pro Skater 2,sports alternative skateboarding
The Last of Us Remastered,action adventure general modern
Portal 2,action shooter shooter firstperson scifi scifi arcade
Red Dead Redemption,action action adventure shooter historic historic openworld thirdperson historic
Portal 2,action shooter shooter firstperson scifi scifi arcade
Metal Gear Solid V: The Phantom Pain,modern modern action adventure openworld
Portal 2,action shooter shooter firstperson scifi scifi arcade
World of Goo,miscellaneous puzzle action puzzle general puzzle general
BioShock Infinite,action shooter shooter firstperson scifi scifi arcade
Final Fantasy IX,roleplaying consolestyle rpg
Call of Duty: Modern Warfare 2,action shooter shooter firstperson modern modern arcade
Tony Hawk's Pro Skater 4,sports alternative skateboarding
Devil May Cry,action adventure fantasy
Call of Duty 4: Modern Warfare,action shooter shooter firstperson modern modern arcade
Madden NFL 2002,sports traditional football sim
God of War,action adventure linear
Batman: Arkham City,action adventure fantasy fantasy openworld
The Elder Scrolls V: Skyrim,roleplaying firstperson firstperson westernstyle
Mass Effect 2,roleplaying action rpg action rpg
The Legend of Zelda: Ocarina of Time 3D,miscellaneous action adventure fantasy fantasy compilation openworld
Chrono Cross,roleplaying consolestyle rpg
BioShock,action shooter shooter firstperson scifi scifi arcade
Mass Effect 2,roleplaying action rpg action rpg
Grand Theft Auto: Vice City,action adventure modern modern openworld
Madden NFL 2004,sports traditional football sim
Gears of War,action shooter shooter thirdperson scifi scifi arcade
The Elder Scrolls IV: Oblivion,roleplaying firstperson firstperson westernstyle
Sid Meier's Civilization II,strategy turnbased historic general historic 4x
Quake,action shooter shooter firstperson scifi scifi arcade
