title,genre,platform
The Legend of Zelda: Ocarina of Time,action adventure fantasy,Nintendo 64
Tony Hawk's Pro Skater 2,sports alternative skateboarding,PlayStation
Grand Theft Auto IV,action adventure modern modern openworld,PlayStation 3
SoulCalibur,action fighting 3d,Dreamcast
Grand Theft Auto IV,action adventure modern modern openworld,Xbox 360
Super Mario Galaxy,action platformer platformer 3d 3d,Wii
Super Mario Galaxy 2,action platformer platformer 3d 3d,Wii
Grand Theft Auto V,action adventure modern openworld,XboxOne
Grand Theft Auto V,modern action adventure modern openworld,PlayStation 3
Grand Theft Auto V,modern action adventure modern openworld,Xbox 360
Tony Hawk's Pro Skater 2,sports alternative skateboarding,Dreamcast
The Legend of Zelda: Breath of the Wild,action adventure openworld,Switch
Tony Hawk's Pro Skater 3,sports alternative skateboarding,PlayStation 2
Perfect Dark,action shooter firstperson scifi,Nintendo 64
Grand Theft Auto V,action adventure modern openworld,PlayStation 4
Metroid Prime,action shooter firstperson scifi,GameCube
Grand Theft Auto III,action adventure modern,PlayStation 2
Super Mario Odyssey,action platformer 3d,Switch
Halo: Combat Evolved,action shooter firstperson scifi,Xbox
NFL 2K1,sports traditional football sim,Dreamcast
Half-Life 2,action shooter shooter firstperson scifi scifi arcade,PC
Grand Theft Auto V,modern action adventure openworld,PC
The Legend of Zelda: Breath of the Wild,fantasy fantasy action adventure openworld,WiiU
BioShock,action shooter shooter firstperson scifi scifi arcade,Xbox 360
GoldenEye 007,action shooter firstperson modern,Nintendo 64
Uncharted 2: Among Thieves,action adventure modern modern linear,PlayStation 3
Resident Evil 4,action adventure horror,GameCube
The Orange Box,action miscellaneous shooter compilation firstperson scifi,Xbox 360
The Orange Box,action miscellaneous shooter compilation firstperson scifi,PC
Batman: Arkham City,action adventure fantasy fantasy openworld,PlayStation 3
Tekken 3,action fighting 3d,PlayStation
Mass Effect 2,roleplaying action rpg action rpg,Xbox 360
The Legend of Zelda: Twilight Princess,action adventure fantasy,GameCube
The Elder Scrolls V: Skyrim,roleplaying firstperson firstperson westernstyle,Xbox 360
Half-Life,action shooter shooter firstperson scifi scifi arcade,PC
Resident Evil 4,action adventure horror,PlayStation 2
The Legend of Zelda: The Wind Waker,action adventure fantasy,GameCube
Gran Turismo,driving racing gt  street,PlayStation
BioShock,action shooter shooter firstperson scifi scifi arcade,PC
Metal Gear Solid 2: Sons of Liberty,action adventure modern,PlayStation 2
Grand Theft Auto Double Pack,miscellaneous compilation,Xbox
Baldur's Gate II: Shadows of Amn,roleplaying pcstyle rpg pcstyle rpg westernstyle,PC
Grand Theft Auto: San Andreas,action adventure modern,PlayStation 2
Grand Theft Auto: Vice City,action adventure modern,PlayStation 2
