название,жанр
The Legend of Zelda: Ocarina of Time,экшен приключение фэнтези
Tony Hawk's Pro Skater 2,спорт альтернатива скейтбординг
Grand Theft Auto IV,экшен приключение современный открытый мир
SoulCalibur,экшен файтинг 3d
Grand Theft Auto IV,экшен приключение современный открытый мир
Super Mario Galaxy,экшен платформер 3d
Super Mario Galaxy 2,экшен платформер 3d
Grand Theft Auto V,экшен приключение современный открытый мир
Grand Theft Auto V,современный экшен приключение открытый мир
Grand Theft Auto V,современный экшен приключение открытый мир
Tony Hawk's Pro Skater 2,спорт альтернатива скейтбординг
The Legend of Zelda: Breath of the Wild,экшен приключение открытый мир
Tony Hawk's Pro Skater 3,спорт альтернатива скейтбординг
Perfect Dark,экшен шутер от первого лица научная фантастика
Grand Theft Auto V,экшен приключение современный открытый мир
Metroid Prime,экшен шутер от первого лица научная фантастика
Grand Theft Auto III,экшен приключение современный
Super Mario Odyssey,экшен платформер 3d
Halo: Combat Evolved,экшен шутер от первого лица научная фантастика
NFL 2K1,спорт традиционный футбол сим
Half-Life 2,экшен шутер от первого лица научная фантастика аркада
Grand Theft Auto V,современный экшен приключение открытый мир
The Legend of Zelda: Breath of the Wild,фэнтези экшен приключение открытый мир
BioShock,экшен шутер от первого лица научная фантастика аркада
GoldenEye 007,экшен шутер от первого лица современный
Uncharted 2: Among Thieves,экшен приключение современный линейный
Resident Evil 4,экшен приключение хоррор
The Orange Box,экшен разнообразие шутер сборник от первого лица научная фантастика
The Orange Box,экшен разнообразие шутер сборник от первого лица научная фантастика
Batman: Arkham City,экшен приключение фэнтези открытый мир
Tekken 3,экшен файтинг 3d
Mass Effect 2,ролевые игры экшен рпг
The Legend of Zelda: Twilight Princess,экшен приключение фэнтези
The Elder Scrolls V: Skyrim,ролевые игры от первого лица вестерн
Half-Life,экшен шутер от первого лица научная фантастика аркада
Resident Evil 4,экшен приключение хоррор
The Legend of Zelda: The Wind Waker,экшен приключение фэнтези
Gran Turismo,вождение гонки гт уличный
BioShock,экшен шутер от первого лица научная фантастика аркада
Metal Gear Solid 2: Sons of Liberty,экшен приключение современный
Grand Theft Auto Double Pack,разнообразие сборник
Baldur's Gate II: Shadows of Amn,ролевые игры пк стиль рпг вестерн
Grand Theft Auto: San Andreas,экшен приключение современный
Grand Theft Auto: Vice City,экшен приключение современный
LittleBigPlanet,экшен платформер 3d 2d
